Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
select * from netflix_userbase,0.43,0.14,0.57,4.41,db.netflix_userbase.find(),0.81,0.14,0.95,4.26,select * from netflix_userbase,0.79,0.14,0.92,4.14,select * from netflix_userbase,0.76,0.14,0.9,4.37
select * from netflix_userbase,0.66,0.14,0.8,4.25,db.netflix_userbase.find(),0.34,0.14,0.48,4.55,select * from netflix_userbase,0.76,0.14,0.91,4.39,select * from netflix_userbase,1.18,0.16,1.34,4.63
select * from netflix_userbase,0.74,0.14,0.88,4.19,db.netflix_userbase.find(),2.25,0.16,2.4,4.68,select * from netflix_userbase,0.38,0.15,0.52,4.48,select * from netflix_userbase,0.72,0.14,0.87,4.32
select * from netflix_userbase,0.92,0.14,1.06,4.27,db.netflix_userbase.find(),1.28,0.16,1.44,4.7,select * from netflix_userbase,0.87,0.15,1.02,4.32,select * from netflix_userbase,0.64,0.15,0.79,4.62
select * from netflix_userbase,0.8,0.14,0.94,4.19,db.netflix_userbase.find(),1.01,0.15,1.15,4.51,select * from netflix_userbase,0.97,0.15,1.12,4.5,select * from netflix_userbase,1.25,0.15,1.4,4.51
select * from netflix_userbase,0.38,0.14,0.52,4.25,db.netflix_userbase.find(),1.03,0.15,1.18,4.51,select * from netflix_userbase,0.75,0.14,0.89,4.34,select * from netflix_userbase,0.49,0.15,0.65,4.53
select * from netflix_userbase,0.45,0.13,0.58,4.24,db.netflix_userbase.find(),0.34,0.14,0.48,4.45,select * from netflix_userbase,0.79,0.13,0.92,4.24,select * from netflix_userbase,0.56,0.13,0.69,4.21
select * from netflix_userbase,0.39,0.13,0.52,4.18,db.netflix_userbase.find(),0.6,0.14,0.74,4.52,select * from netflix_userbase,0.39,0.13,0.53,4.28,select * from netflix_userbase,0.57,0.13,0.7,4.23
select * from netflix_userbase,0.78,0.18,0.97,5.9,db.netflix_userbase.find(),1.08,0.15,1.22,4.53,select * from netflix_userbase,1.0,0.14,1.14,4.22,select * from netflix_userbase,0.58,0.14,0.71,4.28
select * from netflix_userbase,0.37,0.14,0.51,4.36,db.netflix_userbase.find(),0.75,0.15,0.89,4.48,select * from netflix_userbase,0.39,0.13,0.52,4.17,select * from netflix_userbase,0.79,0.14,0.93,4.53
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.37,0.14,0.51,4.16,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.68,0.14,0.83,4.29,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.45,0.14,0.59,4.26,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.56,0.15,0.71,4.61
