Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
select * from spam;,2.82,0.21,3.03,6.92,db.spam.find(),1.27,0.18,1.45,6.12,select * from spam;,1.48,0.19,1.67,6.26,select * from spam;,1.47,0.19,1.66,6.11
select * from spam;,3.05,0.18,3.24,6.38,db.spam.find(),1.62,0.18,1.8,6.27,select * from spam;,2.67,0.21,2.88,6.68,select * from spam;,1.34,0.18,1.53,6.0
select * from spam;,1.7,0.19,1.89,6.44,db.spam.find(),1.91,0.19,2.1,6.32,select * from spam;,2.05,0.2,2.25,6.45,select * from spam;,1.77,0.18,1.95,6.03
select * from spam;,2.24,0.18,2.42,6.29,db.spam.find(),1.63,0.18,1.81,6.25,select * from spam;,2.79,0.2,2.98,6.44,select * from spam;,2.27,0.18,2.45,5.98
select * from spam;,2.93,0.19,3.12,6.41,db.spam.find(),1.61,0.18,1.79,6.12,select * from spam;,1.99,0.19,2.19,6.4,select * from spam;,3.22,0.19,3.41,6.09
select * from spam;,2.51,0.18,2.69,6.25,db.spam.find(),1.67,0.18,1.84,6.13,select * from spam;,2.95,0.19,3.14,6.36,select * from spam;,1.66,0.19,1.85,6.07
select * from spam;,2.61,0.18,2.79,6.34,db.spam.find(),1.86,0.18,2.05,6.2,select * from spam;,2.62,0.19,2.81,6.29,select * from spam;,2.83,0.18,3.02,6.03
select * from spam;,2.27,0.18,2.45,6.27,db.spam.find(),2.93,0.18,3.11,6.24,select * from spam;,1.97,0.19,2.15,6.19,select * from spam;,1.35,0.18,1.53,5.92
select * from spam;,2.36,0.19,2.55,6.42,db.spam.find(),1.63,0.18,1.81,6.2,select * from spam;,1.46,0.19,1.65,6.26,select * from spam;,2.9,0.18,3.08,5.94
select * from spam;,1.75,0.18,1.92,6.09,db.spam.find(),1.56,0.18,1.73,6.12,select * from spam;,2.37,0.19,2.56,6.18,select * from spam;,3.18,0.19,3.37,6.11
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",2.69,0.18,2.87,6.14,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",3.37,0.18,3.55,6.18,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",2.71,0.19,2.9,6.24,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.42,0.19,1.6,6.08
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",1.95,0.18,2.13,6.14,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",1.34,0.18,1.51,6.07,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.75,0.19,1.95,6.26,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.98,0.19,2.16,6.18
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",2.37,0.18,2.55,6.19,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",2.45,0.18,2.63,6.16,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.21,0.19,1.4,6.27,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.26,0.19,1.45,6.1
